	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDL248W	1103.33731500263	0.0121080327337361	0.0989947504677381	0.122309846497184	0.90265363417165	0.935435351643819
YDL247W-A	1131.15507521439	0.257416979232448	0.157106549867406	1.6384866159285	0.101320223775366	0.192609282000736
YDL247W	1593.53216154281	-0.0969817473311363	0.0820486998879267	-1.18200224334581	0.23720481072685	0.364048861233028
YDL246C	1496.29422954219	0.0054036790349133	0.0672082459088881	0.0804020245110828	0.935917516792622	0.957601096677768
YDL245C	1555.43880322899	-0.0585160666903363	0.0518943188811183	-1.12760063051193	0.25948862030603	0.389784564430784
YDL244W	1321.91532082822	0.149777890975255	0.0870224304011391	1.72114120790282	0.0852252032085489	0.168967813095288
YDL243C	1240.18853008465	0.1652572195689	0.0889747643661225	1.85734933659259	0.0632614694497023	0.13521038812208
YDL242W	1231.5558686857	0.169460129970014	0.0888040347732013	1.90824809258725	0.0563591584302979	0.124253919958966
YDL241W	1254.35672177754	-0.0763366087214635	0.0958327917459057	-0.796560418732922	0.425706372829585	0.561097039808589
YDL240C-A	1338.3283006982	0.0720554274957561	0.0573318070066706	1.25681417101283	0.20882093339731	0.332476051236006
YDL240W	1520.79273347951	-0.0116873755384741	0.0568815344128705	-0.20546871070042	0.837205941807407	0.89085696104784
YDL239C	1605.95554119978	0.18951170687055	0.11861978651818	1.59763992528772	0.11012313558919	0.205311365718527
YDL238C	1251.54113918847	0.106426597666272	0.074287771745836	1.43262605897501	0.151964730518398	0.261088455936856
YDL237W	1282.96048878802	0.100766400135148	0.0779766612922283	1.29226358842824	0.19626587704462	0.317494204944434
YDL236W	1501.63450340771	-0.0675820471691755	0.0565331131192983	-1.19544181171416	0.231914457872938	0.35889346459268
YDL235C	1130.09083756314	0.133337383247049	0.0723763276847992	1.84227892616681	0.0654343606945762	0.138513838426566
YDL234C	1960.19423284944	-0.112953329849812	0.0666123553398505	-1.69568136832175	0.089946238857329	0.176585040345813
YDL233W	1868.16253949893	-0.078454876504165	0.0748032210919131	-1.04881682043832	0.294262434371591	0.430310091322364
YDL232W	1731.99926115336	-0.0142201173782017	0.063122325331058	-0.225278731472919	0.821762444263277	0.881380996354236
YDL231C	2044.98207711633	-0.288226689484856	0.0596641457342241	-4.8308190109479	1.35972564552755e-06	3.73013192096702e-05
YDL230W	2019.00942428129	-0.290763151945494	0.0638681009637396	-4.55255671544974	5.29978669689628e-06	0.000105786137853867
YDL229W	1472.75565050909	-0.170721041934385	0.0629513417310123	-2.71195239434081	0.00668881983457481	0.0246058950478122
YDL228C	1250.36348342543	-0.237174738095601	0.0876666694632757	-2.70541517714387	0.00682190680858115	0.0250018638534411
YDL227C	1484.6819427686	-0.0529028441447013	0.0658866805329357	-0.802936856384136	0.422011231972441	0.557550417010124
YDL226C	1685.32551130542	-0.102288680824935	0.056065202940473	-1.82445929846254	0.0680826642480185	0.142624401297509
