	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HRA1	3.49127712328287	4.6074776143558	1.29063574031966	3.56992873389254	0.000357078358947487	0.000781215400846597
ICR1	314.997153853612	2.07878805899208	0.364972981204149	5.69573137204177	1.22844166145185e-08	4.69367084813061e-08
LSR1	39.7635015739723	1.62123085402036	0.683275798132031	2.37273273611117	0.0176570351879119	0.0290096004277467
NME1	101.64280321294	3.91223084805957	0.471100484155053	8.30445091788939	1.0028211155806e-16	7.45035733901839e-16
PWR1	20.0137110934329	5.70676549928282	0.927655738012909	6.15181393854906	7.66017140570387e-10	3.29341193926411e-09
RDN18-1	0	NA	NA	NA	NA	NA
RDN18-2	0	NA	NA	NA	NA	NA
RDN25-1	0	NA	NA	NA	NA	NA
RDN25-2	0	NA	NA	NA	NA	NA
RDN37-1	0	NA	NA	NA	NA	NA
RDN37-2	0	NA	NA	NA	NA	NA
RDN5-1	0	NA	NA	NA	NA	NA
RDN5-2	0	NA	NA	NA	NA	NA
RDN5-3	0	NA	NA	NA	NA	NA
RDN5-4	0	NA	NA	NA	NA	NA
RDN5-5	0	NA	NA	NA	NA	NA
RDN5-6	0	NA	NA	NA	NA	NA
RDN58-1	0	NA	NA	NA	NA	NA
RDN58-2	0	NA	NA	NA	NA	NA
RNA170	1.05979071792007	3.8849742063951	1.41027600393165	2.75476161798425	0.00587349117652007	0.0105342106348372
RPR1	75.6139002654805	2.62995467189615	0.649509143596894	4.04914187555823	5.14057757265958e-05	0.000127452172417543
RUF20	2.40165205304085	-1.43880994097073	1.00615958993364	-1.43000171679091	0.152716526339469	0.203071797580111
RUF21	6.09725022356311	6.41462673848073	1.27387662446063	5.03551648198014	4.76562119143314e-07	1.53875867343105e-06
RUF22	0.441108759408829	2.61345691333418	4.03401109707426	0.647855657915677	0.517078312753671	0.580672793835867
RUF23	0.718220489180065	2.18920290772211	1.49625121651823	1.46312523161477	0.143433114871997	0.192292640844476
RUF5-1	0	NA	NA	NA	NA	NA
RUF5-2	0	NA	NA	NA	NA	NA
SCR1	287.518916405847	2.31788841701639	0.808869584246721	2.86558978376591	0.00416233222824222	0.00768200419007672
snR10	42.6801670105488	2.86471124158113	0.579141970771605	4.94647493388263	7.55694534700799e-07	2.39545837937997e-06
snR11	4.02826945500724	-0.564494815815425	0.737815347708675	-0.765089554681254	0.444218219303116	0.509913581850268
snR128	13.931161278077	2.47101045540489	0.714769657828149	3.45707239855863	0.000546078118111954	0.00116222660482779
snR13	3.33826774673219	4.52578900613757	1.29702372949287	3.48936484601337	0.000484169825914339	0.00103492711040431
snR14	2.47510022321312	4.05832173807073	1.31105534053662	3.09546181049051	0.00196506676314177	0.00380161650168988
snR161	19.0699237776773	2.19131972132923	0.518522865932125	4.22608117269813	2.37796241808982e-05	6.15241465607358e-05
snR17a	36.5582518846505	2.00142906057898	0.664510389784527	3.01188527876585	0.00259630697265198	0.0049248506079944
snR17b	13.0395051967013	-0.194839478797562	0.734142342177343	-0.265397413558386	0.790703328428118	0.826632681625422
snR18	99.1934928168408	5.77036840797875	0.556319369157132	10.3724024865812	3.31094116891352e-25	4.11081844550404e-24
snR189	14.9632343638557	3.22176523260352	0.602145908856316	5.35047267650256	8.77247976860079e-08	3.06201999100862e-07
snR19	16.7111644079357	3.23633488465845	0.678488655675607	4.76991745932121	1.84301422220947e-06	5.55152899688529e-06
snR190	22.7703204353216	1.41155408669171	0.759468444917046	1.8586079463063	0.0630827299419269	0.0922807756374724
snR191	5.33789502588173	-1.13475479003349	0.695826848830339	-1.6308005244997	0.102932416752627	0.143323900896988
snR24	48.0633819417501	1.18799460435509	0.455021649049652	2.61085292718777	0.00903167260913376	0.0156814461666296
snR3	2.18326658765595	1.24900042394035	0.954670501611953	1.30830524440781	0.19076979705248	0.247184361582533
snR30	486.998805616155	4.32877460595139	0.457381106345258	9.4642619598803	2.95641409749535e-21	2.97915574439916e-20
snR31	109.426831012795	1.26748909289226	0.368671197208441	3.43799326470204	0.000586042275109318	0.00123702905752276
snR32	18.2908107472952	1.25670656949765	0.544351177772939	2.30863203904346	0.0209640084928082	0.0337771010329657
snR33	29.3528178830423	-2.83632423510528	0.634226159831036	-4.47210224797555	7.74543752304637e-06	2.15696153841365e-05
snR34	18.5816850930454	2.59520239969175	0.517398416442473	5.01586846271358	5.27944404716278e-07	1.69443756693689e-06
snR35	2.50786525854967	2.55604322976864	1.0883201593708	2.34861332647408	0.0188434640012497	0.0307229350835716
snR36	21.3357675899428	1.60687562881124	0.449058797678866	3.57831900213736	0.000345811222128886	0.000759412328034662
snR37	26.7111335379881	2.87967925143717	0.515140634290526	5.59008367764114	2.26960214421145e-08	8.40337531361568e-08
snR38	6.13435176086787	0.0179727367473558	0.653014622120671	0.0275227171621198	0.978042821033689	0.981334597985726
snR39	44.7094991027154	2.42611256540947	0.542400572277734	4.47291667709965	7.71598494600614e-06	2.15010446792918e-05
snR39B	1.32769132884233	0.780326859828192	1.11606086532148	0.699179483910511	0.48443987032621	0.549475535091439
snR4	19.4872368324061	0.52717790520521	0.562769816890026	0.936755826953363	0.348884172170476	0.413113355683874
snR40	17.5640835645008	3.80830720140963	0.632045114059402	6.02537242468377	1.68720658615337e-09	7.00529047640263e-09
snR41	113.812677162709	1.61184656680335	0.402739128835281	4.00220999500298	6.2753562746003e-05	0.000153570384775674
snR42	11.3673488185246	1.33484820462926	0.598449889062565	2.23050956984922	0.0257136328498949	0.0409466160415468
snR43	11.933968145201	0.352957088436717	0.559120959665133	0.631271431226811	0.527863063360097	0.591232420818088
snR44	146.864502155883	1.02815289243093	0.339039873898385	3.03254269360389	0.00242502790886446	0.00462180942606917
snR45	1.8676424767	2.54350314774264	1.23100648232193	2.0661980129829	0.0388097864077984	0.0593708338778974
snR46	44.6218770193721	0.351529798679844	0.581063149494907	0.604976927181519	0.545194327414214	0.608309123530652
snR47	38.5472329986884	3.5304336916062	0.516833528485413	6.83089137415713	8.43886169054199e-12	4.31625921845331e-11
snR48	3.66494591582993	1.70281545684937	0.802184807121856	2.12272214797843	0.0337771419433296	0.0526890581128148
snR49	4.41038026934683	-0.203502503465071	0.70744449093064	-0.287658616434152	0.773608070883919	0.811668879863334
snR5	180.280710226618	3.01131554373422	0.443744140371661	6.78615280691272	1.15163175052985e-11	5.82072772177251e-11
snR50	47.3817076637773	2.30529466112486	0.495817597463936	4.64948132723857	3.32770807177898e-06	9.71817930516347e-06
snR51	31.4629320406171	2.1159149671472	0.699664825765525	3.0241837080092	0.0024930500295311	0.00473598346835162
snR52	4.06102344038443	2.89688987478415	0.914346059479892	3.16826418701032	0.00153352098443087	0.00302045756338194
snR53	0.380082609924716	0.708859288298879	1.71247582631888	0.413938274283634	0.678919312572875	0.728060668964129
snR54	17.942785553077	2.48508920505172	0.523634588121603	4.74584617102225	2.07636472176632e-06	6.22521492247454e-06
snR55	17.2767396846652	2.4911603443332	0.662389006253948	3.7608721171591	0.00016932198311656	0.000389561938933762
snR56	0	NA	NA	NA	NA	NA
snR57	1.64737488894422	0.783536557914158	1.01110087597189	0.774934110467469	0.438378594885781	0.504473323874476
snR58	0	NA	NA	NA	NA	NA
snR59	8.55243846678898	3.00301822239988	0.731999322240332	4.10248770888059	4.08731574586017e-05	0.000102767253320315
snR6	0.449296700259406	2.57099022734037	1.61805762283876	1.58893613617404	0.112074811784199	0.154445731396043
snR60	5.21624300678995	2.58939402257988	0.794848830235127	3.257718856822	0.00112311616186453	0.00225925498057299
snR61	66.5907243521369	4.80856126804553	0.57237921801607	8.40100604056265	4.42669626978225e-17	3.41936983823493e-16
snR62	0.820832252099621	1.39914092287587	1.39769903244423	1.00103161724962	0.316811523029742	0.384135467761223
snR63	1.45934306543474	-2.67726796805582	1.34922361055916	-1.98430263679293	0.0472221124219374	0.0710379047659753
snR64	0.756086961182221	2.20001889476467	1.49518707467152	1.47140042342059	0.141182858991959	0.189830911577165
snR65	0	NA	NA	NA	NA	NA
snR66	11.8249471780511	4.84866702801627	1.02568176132503	4.72726259824735	2.27566884331102e-06	6.78788025335197e-06
snR67	6.69099109070678	3.28720006304446	0.847879418638333	3.87696645393705	0.000105766934333643	0.000250708253872841
snR68	0.220554379704414	1.67189137367588	1.72449351994342	0.969497046141836	0.332297253299099	0.395662413082345
snR69	2.15270558841061	3.8068481493461	2.27320356647003	1.6746622280105	0.0940005223940032	0.131888383223411
snR7-L	0.190875848552836	1.67189137367588	1.72449351994342	0.969497046141836	0.332297253299099	0.395662413082345
snR7-S	0	NA	NA	NA	NA	NA
snR70	17.2573269382769	0.975664022259764	0.52669631359932	1.85242234864395	0.0639651985545984	0.0934651967953487
snR71	5.4778318790021	2.74478056577476	0.807209776052983	3.40033117437691	0.000673042831860105	0.00140496323177561
snR72	0	NA	NA	NA	NA	NA
snR73	0	NA	NA	NA	NA	NA
snR74	1.66554241614905	3.40717086523737	2.33849449313688	1.456993324225	0.145118222997313	0.194267752538008
snR75	20.0719917694251	2.40589552236544	0.561463018343537	4.28504717810882	1.82700413584403e-05	4.78749928914166e-05
snR76	3.37766259601067	1.5650256832486	0.807384486366559	1.93838958968809	0.0525757095481155	0.0782479665173553
snR77	20.3043363628324	3.11905202656895	0.561543485590283	5.55442651656847	2.78524649661542e-08	1.02221253640791e-07
snR78	0.678684929996954	0.780033893468236	1.50918389344402	0.516858082607923	0.605255230735963	0.66389838108239
snR79	0.441108759408829	2.61345691333418	4.03401109707426	0.647855657915677	0.517078312753671	0.580672793835867
snR8	12.9150463694971	1.92280566968012	0.550899312057396	3.49030326884814	0.000482472695532452	0.0010323307442076
snR80	1.28875144580435	-0.879611395684344	1.25520057716247	-0.700773574907695	0.483444331656232	0.548564462595254
snR81	13.963725584767	3.50824506588036	0.676253832746954	5.18776367097221	2.12834458764528e-07	7.10075047198288e-07
snR82	78.6754950376037	3.68468898334211	0.433835168209529	8.49329250680415	2.00863917567265e-17	1.58396251457527e-16
snR83	78.8907905562515	4.08194017119357	0.447813531777475	9.11526758691596	7.84765712239342e-20	7.300274630352e-19
snR84	13.6080497196396	-0.164208537937723	0.528887094561021	-0.310479381377261	0.756196436588689	0.795776867389243
snR85	8.92394971632813	2.01149563335862	0.62698169491085	3.20822067005422	0.00133558978135388	0.00265751729898032
snR86	123.224797701447	3.42106144288264	0.560566427864852	6.10286537478378	1.04183592114152e-09	4.42005603291962e-09
snR87	1.46378044133587	-3.73109852392702	1.32331520026936	-2.8195085518307	0.00480972493495535	0.00878839292840262
snR9	24.3926517912994	5.02341750654326	0.730918372442199	6.87274762263622	6.29769283949595e-12	3.25220356691267e-11
SRG1	330.99912267172	2.27069177057202	0.392513918016139	5.78499682775239	7.25136984262811e-09	2.81929394426589e-08
tA(AGC)D	0	NA	NA	NA	NA	NA
tA(AGC)F	0	NA	NA	NA	NA	NA
tA(AGC)G	0	NA	NA	NA	NA	NA
tA(AGC)H	0	NA	NA	NA	NA	NA
tA(AGC)J	0	NA	NA	NA	NA	NA
tA(AGC)K1	0	NA	NA	NA	NA	NA
tA(AGC)K2	0	NA	NA	NA	NA	NA
tA(AGC)L	0	NA	NA	NA	NA	NA
tA(AGC)M1	0	NA	NA	NA	NA	NA
tA(AGC)M2	0	NA	NA	NA	NA	NA
tA(AGC)P	0	NA	NA	NA	NA	NA
tA(UGC)A	0	NA	NA	NA	NA	NA
tA(UGC)E	0	NA	NA	NA	NA	NA
tA(UGC)G	0	NA	NA	NA	NA	NA
tA(UGC)L	0	NA	NA	NA	NA	NA
tA(UGC)O	0	NA	NA	NA	NA	NA
tC(GCA)B	0	NA	NA	NA	NA	NA
tC(GCA)G	0	NA	NA	NA	NA	NA
tC(GCA)P1	0	NA	NA	NA	NA	NA
tC(GCA)P2	0	NA	NA	NA	NA	NA
tD(GUC)B	0	NA	NA	NA	NA	NA
tD(GUC)D	0	NA	NA	NA	NA	NA
tD(GUC)G1	0	NA	NA	NA	NA	NA
tD(GUC)G2	0	NA	NA	NA	NA	NA
tD(GUC)I1	0	NA	NA	NA	NA	NA
tD(GUC)I2	0	NA	NA	NA	NA	NA
tD(GUC)J1	0	NA	NA	NA	NA	NA
tD(GUC)J2	0	NA	NA	NA	NA	NA
tD(GUC)J3	0	NA	NA	NA	NA	NA
tD(GUC)J4	0	NA	NA	NA	NA	NA
tD(GUC)K	0	NA	NA	NA	NA	NA
tD(GUC)L1	0	NA	NA	NA	NA	NA
tD(GUC)L2	0	NA	NA	NA	NA	NA
tD(GUC)M	0	NA	NA	NA	NA	NA
tD(GUC)N	0	NA	NA	NA	NA	NA
tD(GUC)O	0	NA	NA	NA	NA	NA
tE(CUC)D	0	NA	NA	NA	NA	NA
tE(CUC)I	0	NA	NA	NA	NA	NA
tE(UUC)B	0	NA	NA	NA	NA	NA
tE(UUC)C	0	NA	NA	NA	NA	NA
tE(UUC)E1	0	NA	NA	NA	NA	NA
tE(UUC)E2	0	NA	NA	NA	NA	NA
tE(UUC)E3	0	NA	NA	NA	NA	NA
tE(UUC)G1	0	NA	NA	NA	NA	NA
tE(UUC)G2	0	NA	NA	NA	NA	NA
tE(UUC)G3	0	NA	NA	NA	NA	NA
tE(UUC)I	0	NA	NA	NA	NA	NA
tE(UUC)J	0	NA	NA	NA	NA	NA
tE(UUC)K	0	NA	NA	NA	NA	NA
tE(UUC)L	0	NA	NA	NA	NA	NA
tE(UUC)M	0	NA	NA	NA	NA	NA
tE(UUC)P	0	NA	NA	NA	NA	NA
tF(GAA)B	0	NA	NA	NA	NA	NA
tF(GAA)D	0	NA	NA	NA	NA	NA
tF(GAA)F	0	NA	NA	NA	NA	NA
tF(GAA)G	0	NA	NA	NA	NA	NA
tF(GAA)H1	0	NA	NA	NA	NA	NA
tF(GAA)H2	0	NA	NA	NA	NA	NA
tF(GAA)M	0	NA	NA	NA	NA	NA
tF(GAA)N	0	NA	NA	NA	NA	NA
tF(GAA)P1	0	NA	NA	NA	NA	NA
tF(GAA)P2	0	NA	NA	NA	NA	NA
tG(CCC)D	0.190875848552836	1.67189137367588	1.72449351994342	0.969497046141836	0.332297253299099	0.395662413082345
tG(CCC)O	0	NA	NA	NA	NA	NA
tG(GCC)B	0	NA	NA	NA	NA	NA
tG(GCC)C	0	NA	NA	NA	NA	NA
tG(GCC)D1	0	NA	NA	NA	NA	NA
tG(GCC)D2	0	NA	NA	NA	NA	NA
tG(GCC)E	0	NA	NA	NA	NA	NA
tG(GCC)F1	0	NA	NA	NA	NA	NA
tG(GCC)F2	0	NA	NA	NA	NA	NA
tG(GCC)G1	0	NA	NA	NA	NA	NA
tG(GCC)G2	0	NA	NA	NA	NA	NA
tG(GCC)J1	0	NA	NA	NA	NA	NA
tG(GCC)J2	0	NA	NA	NA	NA	NA
tG(GCC)M	0	NA	NA	NA	NA	NA
tG(GCC)O1	0	NA	NA	NA	NA	NA
tG(GCC)O2	0	NA	NA	NA	NA	NA
tG(GCC)P1	0	NA	NA	NA	NA	NA
tG(GCC)P2	0	NA	NA	NA	NA	NA
tG(UCC)G	0	NA	NA	NA	NA	NA
tG(UCC)N	0	NA	NA	NA	NA	NA
tG(UCC)O	0	NA	NA	NA	NA	NA
tH(GUG)E1	0	NA	NA	NA	NA	NA
tH(GUG)E2	0	NA	NA	NA	NA	NA
tH(GUG)G1	0	NA	NA	NA	NA	NA
tH(GUG)G2	0	NA	NA	NA	NA	NA
tH(GUG)H	0	NA	NA	NA	NA	NA
tH(GUG)K	0	NA	NA	NA	NA	NA
tH(GUG)M	0	NA	NA	NA	NA	NA
tI(AAU)B	0	NA	NA	NA	NA	NA
tI(AAU)D	0	NA	NA	NA	NA	NA
tI(AAU)E1	0	NA	NA	NA	NA	NA
tI(AAU)E2	0	NA	NA	NA	NA	NA
tI(AAU)G	0	NA	NA	NA	NA	NA
tI(AAU)I1	0	NA	NA	NA	NA	NA
tI(AAU)I2	0	NA	NA	NA	NA	NA
tI(AAU)L1	0	NA	NA	NA	NA	NA
tI(AAU)L2	0	NA	NA	NA	NA	NA
tI(AAU)N1	0	NA	NA	NA	NA	NA
tI(AAU)N2	0	NA	NA	NA	NA	NA
tI(AAU)P1	0	NA	NA	NA	NA	NA
tI(AAU)P2	0	NA	NA	NA	NA	NA
tI(UAU)D	0	NA	NA	NA	NA	NA
tI(UAU)L	0	NA	NA	NA	NA	NA
tK(CUU)C	0	NA	NA	NA	NA	NA
tK(CUU)D1	0	NA	NA	NA	NA	NA
tK(CUU)D2	0	NA	NA	NA	NA	NA
tK(CUU)E1	0	NA	NA	NA	NA	NA
tK(CUU)E2	0	NA	NA	NA	NA	NA
tK(CUU)F	0	NA	NA	NA	NA	NA
tK(CUU)G1	0	NA	NA	NA	NA	NA
tK(CUU)G2	0	NA	NA	NA	NA	NA
tK(CUU)G3	0	NA	NA	NA	NA	NA
tK(CUU)I	0	NA	NA	NA	NA	NA
tK(CUU)J	0	NA	NA	NA	NA	NA
tK(CUU)K	0	NA	NA	NA	NA	NA
tK(CUU)M	0	NA	NA	NA	NA	NA
tK(CUU)P	0	NA	NA	NA	NA	NA
tK(UUU)D	0	NA	NA	NA	NA	NA
tK(UUU)G1	0	NA	NA	NA	NA	NA
tK(UUU)G2	0	NA	NA	NA	NA	NA
tK(UUU)K	0	NA	NA	NA	NA	NA
tK(UUU)L	0	NA	NA	NA	NA	NA
tK(UUU)O	0	NA	NA	NA	NA	NA
